Code,Name,Structure type,Category,Description
K02b04,Interacting with Computers,Descriptor,Work Activities,"Using computers and computer systems (including hardware and software), and equipment with digital interface to program, write software, set up functions, enter data, process information, or control machines. This descriptor is measured by complexity level on a scale of 1-5."
K02b05,Mechanical Maintenance,Descriptor,Work Activities,"Servicing, repairing, adjusting, or testing machines, devices, moving parts, and equipment that operate on mechanical principles. This descriptor is measured by complexity level on a scale of 1-5."
K02b06,Writing or Composing,Descriptor,Work Activities,Writing or composing original material using symbols such as letters of the alphabet or musical notation to communicate thoughts and ideas in a readable or audible form.
K03,Mental Process-Oriented Activities,Sub-Category,Work Activities,"The processing, planning, problem solving, and decision-making activities that are necessary for the overall completion of a job."
K03a,Information and Data Processing,Similarity Group,Work Activities,
K03a01,Judging Quality,Descriptor,Work Activities,"Assessing the value, importance or quality of materials, products, services or people. This descriptor is measured by complexity level on a scale of 1-5."
K03a02,Evaluating Information to Determine Compliance,Descriptor,Work Activities,"Using relevant information and individual judgment to determine whether events or processes comply with laws, regulations or standards. This descriptor is measured by complexity level on a scale of 1-5."
K03a03,Calculating,Descriptor,Work Activities,"Performing, interpreting, and reporting mathematical operations as part of work tasks."
K03b,Reasoning and Decision Making,Similarity Group,Work Activities,
K03b01,Making Decisions,Descriptor,Work Activities,Choose the best solution based on the analysis of information and the evaluation of potential results. This descriptor is measured by complexity level on a scale of 1-5.
K03b02,Thinking Creatively,Descriptor,Work Activities,"Generating innovative or creative ideas to develop or design new application, products, including artistic contributions. This descriptor is measured by complexity level on a scale of 1-5."
K03b03,Developing Objectives and Strategies,Descriptor,Work Activities,"Define and establish medium to long-term objectives, and determine strategies and actions to achieve them. This descriptor is measured by complexity level on a scale of 1-5."
K03b04,Applying New Knowledge,Descriptor,Work Activities,Keep up-to-date on relevant theorical and technical knowledge and apply them at work. This descriptor is measured by complexity level on a scale of 1-5.
K03b05,Examining and Diagnosing,Descriptor,Work Activities,"Assessing the human, animal, technical, or scientific dimensions of a problem through examination or diagnostic testing in order to determine its root cause and appropriate intervention (excluding all forms of interviews)."
K03b06,Managing Resources,Descriptor,Work Activities,"Determining, acquiring, monitoring and controlling any kind of resources and overseeing the spending of money. This descriptor is measured by complexity level on a scale of 1-5."
K03b07,Planning and Organizing,Descriptor,Work Activities,Developing specific goals and plans to prioritize and organize tasks to get the work done. This descriptor is measured by complexity level on a scale of 1-5.
K03b08,Scheduling Work and Activities,Descriptor,Work Activities,"Scheduling events, programs, and activities, as well as the work of others. This descriptor is measured by complexity level on a scale of 1-5."
K04,People-Oriented Activities,Sub-Category,Work Activities,The activities where social interaction with others is necessary to meet the requirements of the job.
K04a,Communicating and Interacting,Similarity Group,Work Activities,
K04a01,Communicating with Coworkers,Descriptor,Work Activities,"Sharing or providing information or advice to management, supervisors, co-workers and subordinates on work related topics. This descriptor is measured by complexity level on a scale of 1-5."
K04a02,Coordinating the Work and Activities of Others,Descriptor,Work Activities,Getting members of a group to work together to accomplish tasks. This descriptor is measured by complexity level on a scale of 1-5.
K04a03,Facilitating Group Discussion,Descriptor,Work Activities,"Encouraging exchanges by facilitating participation in group interviews and discussions to improve dialogue, decision making or problem solving."
K04a04,Interpreting the Meaning of Information for Others,Descriptor,Work Activities,Translating or explaining what information means and how it can be used. This descriptor is measured by complexity level on a scale of 1-5.
K04a05,Protecting and Enforcing,Descriptor,Work Activities,"Responding to public safety, security and cybersecurity needs, and promoting and ensuring compliance to rules, standards or laws to protect the general population from all kinds of significant danger (excluding medical treatments)."
K04a06,Communicating with Persons Outside Organization,Descriptor,Work Activities,"Sharing or exchanging information with people outside the organization, representing the organization to customers, the public, government or other external sources. This descriptor is measured by complexity level on a scale of 1-5."
K04a07,Establishing and Maintaining Interpersonal Relationships,Descriptor,Work Activities,"Developing respectful, constructive, and cooperative working relationships with others, and maintaining them over time. This descriptor is measured by complexity level on a scale of 1-5."
K04a08,Selling or Influencing Others,Descriptor,Work Activities,"Convincing others to buy goods or services, or to change their minds or actions. This descriptor is measured by complexity level on a scale of 1-5."
K04a09,Performing for or Working Directly with the Public,Descriptor,Work Activities,Working or interacting directly with the public or performing for public audiences. This descriptor is measured by complexity level on a scale of 1-5.
K04a11,Interviewing,Descriptor,Work Activities,Conduct formal interviews with individual or group to collect information or opinions (excluding interviews for the purpose of staffing or recruitment).
K04a12,Assisting and Caring for Others,Descriptor,Work Activities,"Providing personal assistance, medical attention, emotional support, or other care to customers, clients, or patients. This descriptor is measured by complexity level on a scale of 1-5."
K04b,"Coordinating, Developing, Managing, and Advising",Similarity Group,Work Activities,
K04b01,Coaching and Developing Others,Descriptor,Work Activities,"Identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills. This descriptor is measured by complexity level on a scale of 1-5."
K04b02,Providing Consultation and Advice,Descriptor,Work Activities,"Providing guidance and expert advice to management or other groups on technical, systems, or process related topics. This descriptor is measured by complexity level on a scale of 1-5."
K04b03,Resolving Conflicts and Negotiating with Others,Descriptor,Work Activities,"Handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others. This descriptor is measured by complexity level on a scale of 1-5."
K04b04,Supervising Subordinates,Descriptor,Work Activities,"Provide guidance and direction to subordinates, including the establishment of work outcomes for performance monitoring. This descriptor is measured by complexity level on a scale of 1-5."
K04b05,Team Building,Descriptor,Work Activities,"Encouraging and building mutual trust, respect, and cooperation among team members. This descriptor is measured by complexity level on a scale of 1-5."
K04b06,Training and Teaching,Descriptor,Work Activities,"Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others. This descriptor is measured by complexity level on a scale of 1-5."
K04c,Performing Administrative Activities,Similarity Group,Work Activities,
K04c01,Staffing,Descriptor,Work Activities,"Recruiting, interviewing, selecting, hiring, and promoting employees in an organization (excluding non-recruitment interviews). This descriptor is measured by complexity level on a scale of 1-5."
